,PC1,PC2
COD_RUCT,0.19855208631612686,-0.05236631626349609
año,0.0884197807695296,0.05703456970391054
satisfaccion_alumnos,0.9319378233998228,-0.09423609007809425
satisfaccion_profesores,0.44081952198677304,-0.11254216250279166
diferencia_satis,-0.741171911383916,0.03804278533794739
satisfaccion_promedio,0.92860282996437,-0.12525496081363982
tasa_abandono,0.279562495308535,-0.5435783649293926
tasa_permanencia,-0.2795624953085351,0.543578364929393
autoeficacia_3_anos,0.22523001068674608,0.42923556702158955
porcentaje_no_desempleados,0.29369798105012596,0.8419317120009872
porcentaje_desempleados,-0.2936979810501259,-0.8419317120009868
